Age,Income,Education Level,Purchase Frequency,Spending per Purchase
19,29000.0,High School,8,50.6
61,141000.0,Master's,1,440.8
32,70000.0,bachelors,3,160.7
46,100000.0,PhD,0,330.6
25,59000.0,High School,5,96.4
53,122000.0,Master's,2,370.8
22,41000.0,High School,7,61.4
48,118000.0,PhD,1,350.5
39,77000.0,bachelors,4,119.9
41,96000.0,Master's,6,141.0
56,128000.0,PhD,2,470.4
18,38000.0,High School,8,56.0
65,143000.0,Master's,1,400.7
31,68000.0,bachelors,3,130.4
44,99000.0,PhD,0,490.6
27,51000.0,High School,5,70.9
52,123000.0,Master's,2,290.8
20,33000.0,High School,7,56.1
55,117000.0,PhD,1,360.9
38,73000.0,bachelors,4,100.7
42,89000.0,Master's,6,130.2
58,150000.0,PhD,2,460.4
21,40000.0,High School,8,66.1
63,145000.0,Master's,1,420.9
34,61000.0,bachelors,3,160.4
45,108000.0,PhD,0,310.5
24,58000.0,High School,5,96.5
51,120000.0,Master's,2,380.7
23,45000.0,High School,7,61.5
50,119000.0,PhD,1,370.7
36,82000.0,bachelors,4,119.8
43,98000.0,Master's,6,140.6
59,146000.0,PhD,2,450.5
18,34000.0,High School,8,55.6
62,148000.0,Master's,1,410.8
33,59000.0,bachelors,3,150.9
47,104000.0,PhD,0,320.6
26,49000.0,High School,5,75.8
52,130000.0,Master's,2,280.9
20,36000.0,High School,7,55.9
54,125000.0,PhD,1,380.5
37,73000.0,bachelors,4,110.4
40,88000.0,Master's,6,120.5
57,134000.0,PhD,2,480.5
19,30000.0,High School,8,50.7
61,142000.0,Master's,1,440.7
32,71000.0,bachelors,3,160.6
46,101000.0,PhD,0,330.5
25,61000.0,High School,5,96.6
53,121000.0,Master's,2,370.9
22,40000.0,High School,7,61.6
48,120000.0,PhD,1,350.3
39,78000.0,bachelors,4,119.7
41,97000.0,Master's,6,141.1
56,127000.0,PhD,2,470.3
18,40000.0,High School,8,56.1
65,142000.0,Master's,1,400.6
31,69000.0,bachelors,3,130.3
44,100000.0,PhD,0,490.5
27,52000.0,High School,5,71.0
52,122000.0,Master's,2,290.9
20,32000.0,High School,7,56.2
55,116000.0,PhD,1,360.7
38,74000.0,bachelors,4,100.6
42,88000.0,Master's,6,130.1
58,148000.0,PhD,2,460.3
21,41000.0,High School,8,66.2
63,147000.0,Master's,1,420.7
34,60000.0,bachelors,3,160.3
45,109000.0,PhD,0,310.4
24,60000.0,High School,5,96.7
51,119000.0,Master's,2,380.6
23,46000.0,High School,7,61.7
50,121000.0,PhD,1,370.6
36,83000.0,bachelors,4,119.6
43,99000.0,Master's,6,140.5
59,145000.0,PhD,2,450.4
18,36000.0,High School,8,55.5
62,147000.0,Master's,1,410.9
33,58000.0,bachelors,3,150.7
47,105000.0,PhD,0,320.5
26,50000.0,High School,5,75.9
52,131000.0,Master's,2,280.7
20,35000.0,High School,7,56.0
54,126000.0,PhD,1,380.4
37,72000.0,bachelors,4,110.3
40,87000.0,Master's,6,120.4
57,135000.0,PhD,2,480.4
19,31000.0,High School,8,50.8
61,143000.0,Master's,1,440.6
32,72000.0,bachelors,3,160.5
46,102000.0,PhD,0,330.4
25,63000.0,High School,5,96.8
53,120000.0,Master's,2,370.7
22,42000.0,High School,7,61.8
48,122000.0,PhD,1,350.1
39,79000.0,bachelors,4,119.5
41,98000.0,Master's,6,141.2
